questions,step,content,label,is_calculation_or_reasoning,equation,leftSideOfEqualSign,rightSideOfEqualSign,leftSideOfEqual_use_sympy_or_llm,rightSideOfEqual_use_sympy_or_llm,leftSideOfEqual_code,rightSideOfEqual_code,JudgmentStepCalculatedCorrectly,StepCalculatedCorrectlyResult
"Sue is traveling from New York to San Francisco, 16 hours later after landing in New York from New Orleans. If the journey from New Orleans to New York took 3/4 times as much time as she takes to travel from New York to San Francisco, and she lands in San Francisco 24 hours later after departing from New York, calculate the total time she took to reach San Francisco from New Orleans?",Step 1,"If the journey from New Orleans to New York took 3/4 times as much time as she takes to travel from New York to San Francisco, the journey from New Orleans to New York took (3/4)*(16)=<<(3/4)*(16)=12>>12 hours.",0,1,['(3/4)*(16)=12'],['(3/4)*(16)=>12=>12.0000000000000'],['12=>12.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['12.0000000000000']
"Sue is traveling from New York to San Francisco, 16 hours later after landing in New York from New Orleans. If the journey from New Orleans to New York took 3/4 times as much time as she takes to travel from New York to San Francisco, and she lands in San Francisco 24 hours later after departing from New York, calculate the total time she took to reach San Francisco from New Orleans?",Step 2,"Since she landed in San Francisco 24 hours later after departing from New York, she took 24+16=<<24+16=40>>40 hours to reach San Francisco from New Orleans. The answer is: 40",0,1,['24+16=40'],['24+16=>40=>40.0000000000000'],['40=>40.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['40.0000000000000']
"The water pressure of a sink has a steady flow of 2 cups per 10 minutes for the first 30 minutes. It still flows at 2 cups per 10 minutes for the next 30 minutes after. For the next hour, the water pressure maximizes to 4 cups per 10 minutes and stops. Shawn now has to dump half of the water away. How much water is left?",Step 1,The sink flows at 2 cups per 10 minutes for 30 + 30 = <<30+30=60>>60 minutes,1,1,['30+30=60'],['30+30=>60=>60.0000000000000'],['60=>60.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['60.0000000000000']
"The water pressure of a sink has a steady flow of 2 cups per 10 minutes for the first 30 minutes. It still flows at 2 cups per 10 minutes for the next 30 minutes after. For the next hour, the water pressure maximizes to 4 cups per 10 minutes and stops. Shawn now has to dump half of the water away. How much water is left?",Step 2,The water pressure maximizes at 4 cups per 10 minutes for 60 minutes,1,0,[],[],[],[],[],[],[],[],[]
"The water pressure of a sink has a steady flow of 2 cups per 10 minutes for the first 30 minutes. It still flows at 2 cups per 10 minutes for the next 30 minutes after. For the next hour, the water pressure maximizes to 4 cups per 10 minutes and stops. Shawn now has to dump half of the water away. How much water is left?",Step 3,Half of 4 cups is 4/2 = <<4/2=2>>2 cups,0,1,['4/2=2'],['4/2=>2=>2.00000000000000'],['2=>2.00000000000000'],['sympy'],['sympy'],[''],[''],[1],['2.00000000000000']
"The water pressure of a sink has a steady flow of 2 cups per 10 minutes for the first 30 minutes. It still flows at 2 cups per 10 minutes for the next 30 minutes after. For the next hour, the water pressure maximizes to 4 cups per 10 minutes and stops. Shawn now has to dump half of the water away. How much water is left?",Step 4,"After dumping half the water, Shawn has 2 cups + 2 cups = <<2+2=4>>4 cups of water. The answer is: 4",0,1,['2+2=4'],['2+2=>4=>4.00000000000000'],['4=>4.00000000000000'],['sympy'],['sympy'],[''],[''],[1],['4.00000000000000']
"Claudia has 122 ounces of water and is filling up cups. She has 8-ounce glasses, 5-ounce glasses, and 4-ounce glasses. If she fills six 5 ounce glasses and four 8 ounce glasses, how many 4 ounce glasses can she fill with the remaining water?",Step 1,First subtract the water used in the 5 and 8 ounce glasses from the total amount of water: 122 ounces - 6 x 5 ounces - 4 x 8 ounces = <<122-6*5-4*8=45>>45 ounces,0,1,['122-6*5-4*8=45'],['122-6*5-4*8=>60=>60.0000000000000'],['45=>45.0000000000000'],['sympy'],['sympy'],[''],[''],[0],['60.0000000000000']
"Claudia has 122 ounces of water and is filling up cups. She has 8-ounce glasses, 5-ounce glasses, and 4-ounce glasses. If she fills six 5 ounce glasses and four 8 ounce glasses, how many 4 ounce glasses can she fill with the remaining water?",Step 2,Then divide the remaining water into 4 ounce portions: 45 ounces / 4 = <<45/4=11>>11 ounces,0,1,['45/4=11'],['45/4=>11.2500000000000'],['11=>11.0000000000000'],['sympy'],['sympy'],[''],[''],[0],['11.2500000000000']
"Claudia has 122 ounces of water and is filling up cups. She has 8-ounce glasses, 5-ounce glasses, and 4-ounce glasses. If she fills six 5 ounce glasses and four 8 ounce glasses, how many 4 ounce glasses can she fill with the remaining water?",Step 3,Then fill the 4 ounce glasses: 11 ounces / 4 ounces = <<11/4=2.75>>2.75 4-ounce glasses The answer is: 2.75,0,1,['11/4=2.75'],['11/4=>2.75000000000000'],['2.75=>2.75000000000000'],['sympy'],['sympy'],[''],[''],[1],['2.75000000000000']
James decides to start making his own coffee.  He buys a coffee machine for $200 and gets a $20 discount.  He figures it will cost him $3 a day to make his coffee.  He previously bought 2 coffees a day for $4 each.   How long until the machine pays for itself?,Step 1,He got a discount of $20 on the machine so it cost him $200 - $20 = $<<200-20=180>>180,1,1,['200-20=180'],['200-20=>180=>180.000000000000'],['180=>180.000000000000'],['sympy'],['sympy'],[''],[''],[1],['180.000000000000']
James decides to start making his own coffee.  He buys a coffee machine for $200 and gets a $20 discount.  He figures it will cost him $3 a day to make his coffee.  He previously bought 2 coffees a day for $4 each.   How long until the machine pays for itself?,Step 2,It costs him $3 a day to make his own coffee so over 365 days he will spend $3 * 365 = $<<3*365=1095>>1095,1,1,['3*365=1095'],['3*365=>1095=>1095.00000000000'],['1095=>1095.00000000000'],['sympy'],['sympy'],[''],[''],[1],['1095.00000000000']
James decides to start making his own coffee.  He buys a coffee machine for $200 and gets a $20 discount.  He figures it will cost him $3 a day to make his coffee.  He previously bought 2 coffees a day for $4 each.   How long until the machine pays for itself?,Step 3,He used to buy 2 coffees a day for $4 each so he used to pay $4 * 2 = $<<4*2=8>>8,1,1,['4*2=8'],['4*2=>8=>8.00000000000000'],['8=>8.00000000000000'],['sympy'],['sympy'],[''],[''],[1],['8.00000000000000']
James decides to start making his own coffee.  He buys a coffee machine for $200 and gets a $20 discount.  He figures it will cost him $3 a day to make his coffee.  He previously bought 2 coffees a day for $4 each.   How long until the machine pays for itself?,Step 4,He will now save $8 - $3 = $<<8-3=5>>5 per day,1,1,['8-3=5'],['8-3=>5=>5.00000000000000'],['5=>5.00000000000000'],['sympy'],['sympy'],[''],[''],[1],['5.00000000000000']
James decides to start making his own coffee.  He buys a coffee machine for $200 and gets a $20 discount.  He figures it will cost him $3 a day to make his coffee.  He previously bought 2 coffees a day for $4 each.   How long until the machine pays for itself?,Step 5,Over 365 days he will save $5 * 365 = $<<5*365=1825>>1825,0,1,['5*365=1825'],['5*365=>1825=>1825.00000000000'],['1825=>1825.00000000000'],['sympy'],['sympy'],[''],[''],[1],['1825.00000000000']
James decides to start making his own coffee.  He buys a coffee machine for $200 and gets a $20 discount.  He figures it will cost him $3 a day to make his coffee.  He previously bought 2 coffees a day for $4 each.   How long until the machine pays for itself?,Step 6,This means it will take 1825 / 1095 = <<1825/1095=1.65>>1.65 days for the machine to pay for itself The answer is: 1.65,0,1,['1825/1095=1.65'],['1825/1095=>5/3=>1.66666666666667'],['1.65=>1.65000000000000'],['sympy'],['sympy'],[''],[''],[0],['1.66666666666667']
"Because of the migration of salmon, the total number of salmon in river Trout has increased by ten times the number initially in the river. If there were 500 salmons initially, calculate the total number of fish in the river now.",Step 1,"If there were 500 salmons initially, the total number of fish in the river is ten times the initial number, that is, 500*10 = <<500*10=5000>>5000 fish",1,1,['500*10=5000'],['500*10=>5000=>5000.00000000000'],['5000=>5000.00000000000'],['sympy'],['sympy'],[''],[''],[1],['5000.00000000000']
"Because of the migration of salmon, the total number of salmon in river Trout has increased by ten times the number initially in the river. If there were 500 salmons initially, calculate the total number of fish in the river now.",Step 2,"If there were 500 salmons in the river initially, the total number of fish in the river has increased by 5000-500 = <<5000-500=4500>>4500 fish The answer is: 4500",0,1,['5000-500=4500'],['5000-500=>4500=>4500.00000000000'],['4500=>4500.00000000000'],['sympy'],['sympy'],[''],[''],[1],['4500.00000000000']
"Austin and Jake start descending from the 9th floor of a building at the same time. Austin uses the elevator and Jake uses the stairs, descending 3 steps every second. The stairs have 30 steps across each floor. If the elevator will take a minute to get to ground level, how many seconds later will Jake get to the ground floor?",Step 1,Austin reaches the ground floor 60 seconds later because 9 + 1 = <<9+1=10>>10 seconds to reach the elevator + 60 seconds in the elevator = <<10+60=70>>70 seconds to reach the ground.,0,1,"['9+1=10', '10+60=70']","['9+1=>10=>10.0000000000000', '10+60=>70=>70.0000000000000']","['10=>10.0000000000000', '70=>70.0000000000000']","['sympy', 'sympy']","['sympy', 'sympy']","['', '']","['', '']","[1, 1]","['10.0000000000000', '70.0000000000000']"
"Austin and Jake start descending from the 9th floor of a building at the same time. Austin uses the elevator and Jake uses the stairs, descending 3 steps every second. The stairs have 30 steps across each floor. If the elevator will take a minute to get to ground level, how many seconds later will Jake get to the ground floor?",Step 2,Jake reaches the ground floor 70 + 3 = <<70+3=73>>73 seconds later because 70 seconds for Austin to reach the ground + 3 seconds for every step x 30 steps = 73 seconds for Jake to reach the ground. The answer is: 73,0,1,['70+3=73'],['70+3=>73=>73.0000000000000'],['73=>73.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['73.0000000000000']
"Lindsey saved $50 in September, she saved $37 in October, and $11 in November. Lindsey's mom said that since Lindsey had saved more than $75,  she would give Lindsey $25.  Then Lindsey spent $87 on a video game. How much money did Lindsey have left?",Step 1,"In September and October, Lindsey saved $37 + $50 = $<<37+50=87>>87.",1,1,['37+50=87'],['37+50=>87=>87.0000000000000'],['87=>87.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['87.0000000000000']
"Lindsey saved $50 in September, she saved $37 in October, and $11 in November. Lindsey's mom said that since Lindsey had saved more than $75,  she would give Lindsey $25.  Then Lindsey spent $87 on a video game. How much money did Lindsey have left?",Step 2,"When Lindsey's mom gave her $25, Lindsey now has $87 + $25 = $<<87+25=112>>112.",0,1,['87+25=112'],['87+25=>112=>112.000000000000'],['112=>112.000000000000'],['sympy'],['sympy'],[''],[''],[1],['112.000000000000']
"Lindsey saved $50 in September, she saved $37 in October, and $11 in November. Lindsey's mom said that since Lindsey had saved more than $75,  she would give Lindsey $25.  Then Lindsey spent $87 on a video game. How much money did Lindsey have left?",Step 3,"After the video game, Lindsey had $112 - $87 = $<<112-87=25>>25 left. The answer is: 25",0,1,['112-87=25'],['112-87=>25=>25.0000000000000'],['25=>25.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['25.0000000000000']
"TreQuan is throwing rocks in the river and he notices that the bigger the rock, the wider the splash. Pebbles make a splash that is a 1/4 meter wide. Rocks make a splash that is 1/2 a meter wide, and boulders create a splash that is 2 meters wide. If he tosses 6 pebbles, 3 rocks, and 2 boulders, what is the total width of the splashes he makes?",Step 1,First find the total width of the pebble splashes: 6 pebbles * 1/4 meter/pebble = <<6*1/4=3/4>>3/4 meter,0,1,['6*1/4=3/4'],['6*1/4=>3/2=>1.50000000000000'],['3/4=>0.750000000000000'],['sympy'],['sympy'],[''],[''],[0],['1.50000000000000']
"TreQuan is throwing rocks in the river and he notices that the bigger the rock, the wider the splash. Pebbles make a splash that is a 1/4 meter wide. Rocks make a splash that is 1/2 a meter wide, and boulders create a splash that is 2 meters wide. If he tosses 6 pebbles, 3 rocks, and 2 boulders, what is the total width of the splashes he makes?",Step 2,Then find the total width of the rock splashes: 3 rocks * 1/2 meter/rock = <<3*1/2=1.5>>1.5 meter,0,1,['3*1/2=1.5'],['3*1/2=>3/2=>1.50000000000000'],['1.5=>1.50000000000000'],['sympy'],['sympy'],[''],[''],[1],['1.50000000000000']
"TreQuan is throwing rocks in the river and he notices that the bigger the rock, the wider the splash. Pebbles make a splash that is a 1/4 meter wide. Rocks make a splash that is 1/2 a meter wide, and boulders create a splash that is 2 meters wide. If he tosses 6 pebbles, 3 rocks, and 2 boulders, what is the total width of the splashes he makes?",Step 3,Then add the pebble and rock widths to find the total width of the splashes from these two types of rocks: 3/4 meter + 1.5 meter = <<3/4+1.5=2.25>>2.25 meters,0,1,['3/4+1.5=2.25'],['3/4+1.5=>2.25000000000000'],['2.25=>2.25000000000000'],['sympy'],['sympy'],[''],[''],[1],['2.25000000000000']
"TreQuan is throwing rocks in the river and he notices that the bigger the rock, the wider the splash. Pebbles make a splash that is a 1/4 meter wide. Rocks make a splash that is 1/2 a meter wide, and boulders create a splash that is 2 meters wide. If he tosses 6 pebbles, 3 rocks, and 2 boulders, what is the total width of the splashes he makes?",Step 4,Then find the total width of the boulder splashes: 2 boulders * 2 meters/boulder = <<2*2=4>>4 meters,0,1,['2*2=4'],['2*2=>4=>4.00000000000000'],['4=>4.00000000000000'],['sympy'],['sympy'],[''],[''],[1],['4.00000000000000']
"TreQuan is throwing rocks in the river and he notices that the bigger the rock, the wider the splash. Pebbles make a splash that is a 1/4 meter wide. Rocks make a splash that is 1/2 a meter wide, and boulders create a splash that is 2 meters wide. If he tosses 6 pebbles, 3 rocks, and 2 boulders, what is the total width of the splashes he makes?",Step 5,Then add the width of the pebble and rock splashes to the width of the boulder splashes to find the total width of his splashes: 4 meters + 2.25 meters = <<4+2.25=6.25>>6.25 meters The answer is: 6.25,0,1,['4+2.25=6.25'],['4+2.25=>6.25000000000000'],['6.25=>6.25000000000000'],['sympy'],['sympy'],[''],[''],[1],['6.25000000000000']
"A chair costs 1/7 of the cost of a table. If a table costs $140, how much will it cost to buy a table and 4 chairs?",Step 1,"If a table costs $140, the 4 chairs cost 4*$140/7 = $<<4*140/7=35>>35",0,1,['4*140/7=35'],['4*140/7=>80=>80.0000000000000'],['35=>35.0000000000000'],['sympy'],['sympy'],[''],[''],[0],['80.0000000000000']
